Source,Target,combined_score,from_ALS,from_FTD
MAPT,SQSTM1,0.838,NO,YES
MAPT,C9orf72,0.851,NO,YES
MAPT,TIA1,0.878,NO,YES
MAPT,PSEN2,0.883,NO,YES
PLA2G6,MAPT,0.451,NO,YES
PSEN1,GRN,0.649,NO,YES
PSEN1,TARDBP,0.702,NO,YES
PSEN1,SORL1,0.784,NO,YES
PSEN1,CHMP2B,0.57,NO,YES
PSEN1,APP,0.999,NO,YES
PSEN1,SQSTM1,0.479,NO,YES
PSEN1,VCP,0.489,NO,YES
PSEN1,C9orf72,0.646,NO,YES
PSEN1,UBQLN2,0.7,NO,YES
PSEN1,MAPT,0.95,NO,YES
PSEN1,PSEN2,0.999,NO,YES
PSEN2,GRN,0.615,NO,YES
PSEN2,TARDBP,0.634,NO,YES
PSEN2,SORL1,0.778,NO,YES
PSEN2,CHMP2B,0.56,NO,YES
PSEN2,APP,0.969,NO,YES
PSEN2,PSEN1,0.999,NO,YES
PSEN2,MAPT,0.883,NO,YES
PSEN2,UBQLN2,0.497,NO,YES
PSEN2,VCP,0.45,NO,YES
PSEN2,C9orf72,0.633,NO,YES
SORL1,GRN,0.445,NO,YES
SORL1,MAPT,0.6,NO,YES
SORL1,PSEN2,0.778,NO,YES
SORL1,PSEN1,0.784,NO,YES
SORL1,APP,0.999,NO,YES
SQSTM1,GRN,0.436,NO,YES
SQSTM1,TARDBP,0.95,NO,YES
SQSTM1,TUBA4A,0.419,NO,YES
SQSTM1,CHMP2B,0.778,NO,YES
SQSTM1,APP,0.522,NO,YES
SQSTM1,PSEN1,0.479,NO,YES
SQSTM1,TBK1,0.995,NO,YES
SQSTM1,MAPT,0.838,NO,YES
SQSTM1,HNRNPA1,0.459,NO,YES
SQSTM1,UBQLN2,0.794,NO,YES
SQSTM1,HNRNPA2B1,0.512,NO,YES
SQSTM1,VCP,0.884,NO,YES
SQSTM1,DCTN1,0.776,NO,YES
SQSTM1,TIA1,0.4,NO,YES
SQSTM1,CHCHD10,0.615,NO,YES
SQSTM1,CCNF,0.701,NO,YES
SQSTM1,C9orf72,0.82,NO,YES
