Species A,Gene A,Species B,Gene B,Score
Homo sapiens,SLC35G2,Homo sapiens,COX5A,0.854233289
Homo sapiens,SVOP,Homo sapiens,COX5A,0.538141003
Homo sapiens,NELFCD,Homo sapiens,COX5B,0.314
Homo sapiens,COX5A,Homo sapiens,COX5B,0.832
Homo sapiens,COX5B,Homo sapiens,DLAT,0.761
Homo sapiens,CHCHD2,Homo sapiens,COX5B,0.75
Homo sapiens,AP2B1,Homo sapiens,COX5B,0.156852278
Homo sapiens,NDUFA10,Homo sapiens,COX5B,0.098444879
Homo sapiens,PSMD7,Homo sapiens,COX5B,0.077905831
Homo sapiens,TOMM40,Homo sapiens,COX5B,0.081018975
Homo sapiens,VAPB,Homo sapiens,COX5B,0.090279475
Homo sapiens,WDFY1,Homo sapiens,COX5B,0.073862742
Homo sapiens,COX5B,Homo sapiens,COX2,0.07506709
Homo sapiens,COX5B,Homo sapiens,PPIL3,0.074961183
Homo sapiens,COX5B,Homo sapiens,RPLP2,0.07639915
Homo sapiens,COX5B,Homo sapiens,PHB,1.561958665
Homo sapiens,ATP5B,Homo sapiens,COX5B,1.557429062
Homo sapiens,COX5B,Homo sapiens,PHB2,1.514821588
Homo sapiens,COX5B,Homo sapiens,ATP5A1,1.500889664
Homo sapiens,COX5B,Homo sapiens,HADHB,1.451280534
Homo sapiens,C21orf33,Homo sapiens,COX5B,0.99
Homo sapiens,CCDC90B,Homo sapiens,COX5B,1.0
Homo sapiens,METTL17,Homo sapiens,COX5B,0.97
Homo sapiens,APOO,Homo sapiens,COX5B,1.0
Homo sapiens,RMND1,Homo sapiens,COX5B,1.0
Homo sapiens,SLC25A12,Homo sapiens,COX5B,1.0
Homo sapiens,SURF1,Homo sapiens,COX5B,1.0
Homo sapiens,TMEM70,Homo sapiens,COX5B,1.0
Homo sapiens,DNAJA3,Homo sapiens,COX5B,140.0
Homo sapiens,DNAJC19,Homo sapiens,COX5B,105.0
Homo sapiens,COX4I1,Homo sapiens,COX5B,80.0
Homo sapiens,CS,Homo sapiens,COX5B,50.0
Homo sapiens,PDHA1,Homo sapiens,COX5B,35.0
Homo sapiens,TRAP1,Homo sapiens,COX5B,20.0
Homo sapiens,COX5B,Homo sapiens,PDSS1,0.998697596
Homo sapiens,COX5B,Homo sapiens,COX4I1,0.963217361
Homo sapiens,COX5B,Homo sapiens,PPP2R2D,0.794195313
Homo sapiens,COX7C,Homo sapiens,COX5B,0.983324336
Homo sapiens,COX5B,Homo sapiens,ATPAF2,0.90722886
Homo sapiens,COX5B,Homo sapiens,DPP9,0.813191553
Homo sapiens,COX5B,Homo sapiens,TOP3A,0.982091433
Homo sapiens,COX6B1,Homo sapiens,COX5B,0.999714636
